iter	Passed	Remaining
405	6139	8982
406	6154	8966
407	6168	8949
408	6181	8932
409	6194	8914
410	6209	8899
411	6225	8884
412	6239	8868
413	6254	8853
414	6269	8838
415	6284	8822
416	6297	8804
417	6311	8788
418	6325	8771
419	6338	8753
420	6354	8739
421	6369	8724
422	6382	8705
423	6396	8689
424	6411	8673
425	6424	8656
426	6440	8642
427	6454	8625
428	6469	8611
429	6484	8595
430	6500	8582
431	6516	8568
432	6531	8552
433	6545	8536
434	6559	8519
435	6574	8504
436	6588	8488
437	6603	8472
438	6618	8457
439	6634	8443
440	6648	8427
441	6664	8413
442	6677	8396
443	6692	8380
444	6706	8364
445	6720	8347
446	6734	8331
447	6748	8315
448	6763	8299
449	6778	8284
450	6794	8270
451	6808	8254
452	6823	8238
453	6838	8224
454	6854	8210
455	6868	8194
456	6883	8179
457	6897	8162
458	6911	8146
459	6925	8130
460	6941	8116
461	6956	8100
462	6971	8085
463	6986	8070
464	7001	8055
465	7017	8041
466	7032	8026
467	7047	8011
468	7062	7996
469	7077	7981
470	7092	7966
471	7108	7951
472	7125	7938
473	7141	7924
474	7159	7913
475	7174	7898
476	7188	7881
477	7202	7865
478	7217	7849
479	7231	7834
480	7243	7815
481	7256	7798
482	7272	7784
483	7286	7768
484	7299	7750
485	7314	7736
486	7326	7717
487	7340	7701
488	7353	7684
489	7370	7671
490	7387	7658
491	7404	7644
492	7418	7629
493	7435	7616
494	7451	7601
495	7465	7585
496	7480	7570
497	7496	7556
498	7512	7542
499	7527	7527
500	7541	7511
501	7554	7494
502	7568	7478
503	7580	7460
504	7594	7443
505	7608	7427
506	7620	7410
507	7633	7393
508	7645	7374
509	7656	7356
510	7667	7337
511	7679	7319
512	7693	7303
513	7705	7285
514	7718	7269
515	7730	7251
516	7742	7233
517	7755	7216
518	7770	7201
519	7782	7184
520	7797	7169
521	7812	7153
522	7826	7138
523	7841	7123
524	7855	7107
525	7870	7092
526	7883	7076
527	7898	7060
528	7912	7044
529	7926	7029
530	7941	7014
531	7956	6999
532	7972	6985
