iter	RMSE
163	360857.5425
164	360846.0274
165	360831.9099
166	360815.8427
167	360806.1685
168	360792.5048
169	360771.3311
170	360751.4209
171	360727.1266
172	360710.906
173	360689.1037
174	360667.5785
175	360655.6691
176	360631.221
177	360619.3592
178	360608.7617
179	360586.9236
180	360563.7137
181	360539.9563
182	360514.4124
183	360492.2344
184	360472.8108
185	360456.3873
186	360441.0806
187	360418.9426
188	360401.6966
189	360381.8864
190	360368.4232
191	360357.861
192	360347.088
193	360339.9487
194	360320.5298
195	360299.8403
196	360280.5477
197	360259.7724
198	360238.6475
199	360216.1351
200	360196.0097
201	360183.4319
202	360163.0431
203	360141.6917
204	360123.6838
205	360111.2105
206	360097.0014
207	360074.6758
208	360056.3537
209	360036.0117
210	360013.9924
211	359998.5124
212	359972.7183
213	359957.4777
214	359937.6423
215	359927.2855
216	359907.4344
217	359896.8963
218	359862.8493
219	359835.8098
220	359819.4261
221	359796.0032
222	359775.513
223	359759.8929
224	359747.5623
225	359719.1421
226	359705.4888
227	359684.4053
228	359672.6403
229	359656.2851
230	359638.5514
231	359620.6083
232	359609.7306
233	359587.5628
234	359570.782
235	359553.0289
236	359539.8884
237	359519.0561
238	359503.5695
239	359483.4064
240	359465.7426
241	359455.2371
242	359434.4063
243	359423.1194
244	359407.8409
245	359387.5388
246	359376.421
247	359368.4631
248	359352.1667
249	359341.0517
250	359324.0207
251	359305.3861
252	359293.1587
253	359270.4921
254	359251.3664
255	359242.114
256	359224.1661
257	359203.3862
258	359177.9693
259	359168.1842
260	359158.8392
261	359141.85
262	359127.3591
263	359113.232
264	359097.6721
265	359083.5759
266	359065.8321
267	359050.5839
268	359035.5326
269	359014.5315
270	358999.3945
271	358984.9306
272	358972.2695
273	358954.6
274	358945.9122
275	358927.0017
276	358900.0397
277	358879.1568
278	358866.8774
279	358860.89
280	358842.6334
281	358832.2067
282	358810.1066
283	358791.8717
284	358769.5157
285	358752.4308
286	358737.6933
287	358717.8303
288	358701.9071
289	358681.1685
290	358670.1449
291	358646.7247
292	358634.9642
293	358615.853
294	358606.6417
295	358594.1655
296	358567.5176
297	358547.3231
298	358518.1767
299	358502.2385
300	358480.0627
301	358462.6008
302	358452.0388
303	358426.3565
304	358412.1768
305	358401.603
306	358382.5662
307	358364.8112
308	358354.9745
309	358338.3121
310	358324.298
311	358310.5522
312	358292.5428
313	358273.6587
314	358263.9266
315	358245.3065
316	358229.1422
317	358209.287
318	358193.5764
319	358175.9736
320	358161.8469
321	358143.3791
322	358128.9001
323	358110.8418
324	358103.9016
325	358084.492
326	358072.1146
327	358057.9199
328	358043.9252
329	358029.9812
330	358018.2949
331	358009.1312
332	357995.3754
333	357980.2679
334	357973.5354
335	357962.1338
336	357942.2943
337	357924.4836
338	357905.8722
339	357895.3445
340	357875.8754
341	357856.444
342	357839.5296
343	357822.595
344	357812.2378
345	357801.6261
346	357783.7567
347	357766.2278
348	357753.8741
349	357737.8811
350	357724.2749
351	357713.1082
352	357691.2805
353	357677.3897
354	357665.4007
355	357648.7283
356	357631.118
357	357621.1087
358	357606.8686
359	357588.6077
360	357573.2446
361	357556.7535
362	357550.2174
363	357530.1613
364	357513.8912
365	357500.6397
366	357473.4705
367	357450.87
368	357428.8538
369	357415.687
370	357404.3854
371	357391.0001
372	357375.4372
373	357360.8242
374	357341.1293
375	357327.212
376	357311.4895
377	357301.9591
378	357282.0574
379	357263.6085
380	357254.8404
381	357248.1991
382	357235.0872
383	357217.9998
384	357211.9179
385	357190.1585
386	357175.0431
387	357154.4132
388	357141.8554
389	357128.1799
390	357118.0027
391	357105.3373
392	357094.3165
393	357086.3751
394	357070.0328
395	357051.2148
396	357044.2278
397	357035.779
398	357014.1655
399	356993.9725
400	356984.6171
401	356970.9254
402	356961.1798
403	356953.0433
404	356932.9193
405	356916.353
406	356896.2943
407	356878.6302
408	356859.2431
409	356849.0811
410	356834.228
411	356824.5756
412	356805.7784
413	356792.1388
414	356776.9495
415	356765.5796
416	356746.2855
417	356731.8457
418	356726.1815
419	356718.2201
420	356703.5639
421	356699.3948
422	356685.1402
423	356671.4667
424	356660.8811
425	356654.2889
426	356649.9622
427	356634.7046
428	356620.733
429	356608.531
430	356599.9701
431	356585.7131
432	356565.141
433	356552.6598
434	356539.9529
435	356532.1977
436	356521.7415
437	356507.0232
438	356486.9752
439	356470.1317
440	356448.6974
441	356442.0155
442	356430.079
443	356417.265
444	356402.9079
445	356380.4669
446	356365.4962
447	356357.0561
448	356341.2307
449	356333.5802
450	356320.0305
451	356306.0141
452	356291.5292
453	356274.857
454	356265.2488
455	356244.0201
456	356232.6605
457	356222.3085
458	356208.7169
459	356195.0904
460	356178.1351
461	356166.26
462	356156.8517
463	356137.7171
464	356126.7442
465	356108.3541
466	356098.9833
467	356081.5845
468	356069.0565
469	356049.3391
470	356035.2763
471	356024.211
472	356010.1203
473	356003.0557
474	355989.1961
475	355982.4181
476	355965.5252
477	355949.7862
478	355931.0658
479	355918.6823
480	355909.2197
481	355895.0728
482	355879.4011
483	355865.4142
484	355845.2671
485	355826.4294
486	355811.9942
487	355795.9157
488	355783.9102
489	355776.4341
490	355759.9881
491	355751.5596
492	355744.9205
493	355738.2193
494	355724.594
495	355717.846
496	355698.4822
497	355688.1602
498	355677.6909
499	355656.8678
500	355648.9908
501	355635.9137
502	355617.0409
503	355605.3187
504	355592.5509
505	355578.9705
506	355566.8785
507	355545.0854
508	355535.4672
509	355517.6276
510	355504.6323
511	355492.3964
512	355475.4803
513	355465.4216
514	355448.0269
515	355436.9534
516	355428.3532
517	355416.9757
518	355404.0235
519	355392.3715
520	355375.5746
521	355366.8772
522	355359.3652
523	355346.478
524	355330.5246
525	355316.2709
526	355307.0524
527	355295.1717
528	355284.1023
529	355270.5988
530	355259.7148
531	355239.8668
532	355225.4815
533	355213.7057
534	355199.2126
535	355190.5069
536	355171.6115
537	355157.3067
538	355137.2467
539	355120.4201
540	355112.1489
541	355104.4727
542	355097.5729
543	355084.9642
544	355075.561
545	355057.615
546	355039.4181
547	355028.3186
548	355019.1649
549	355006.9923
550	354997.5168
551	354986.4813
552	354975.3722
553	354962.6155
554	354947.5936
555	354927.479
556	354913.2049
557	354902.7074
558	354892.5491
559	354881.438
560	354875.1445
561	354865.601
562	354855.9281
563	354841.8864
564	354819.4237
565	354809.2127
566	354796.7913
567	354792.2115
568	354777.4029
569	354768.6662
570	354759.1745
571	354741.8468
572	354729.9573
573	354712.418
574	354694.6298
575	354683.6134
576	354674.3105
577	354652.1359
578	354638.6272
579	354622.0793
580	354608.6311
581	354586.7961
582	354575.9446
583	354564.276
584	354538.6735
585	354530.8526
586	354512.3046
587	354501.8105
588	354492.814
589	354476.6743
590	354461.1458
591	354450.8079
592	354441.0241
593	354432.2391
594	354423.6304
595	354409.0373
596	354402.202
597	354387.6777
598	354376.0317
599	354362.9877
600	354340.0471
601	354330.4003
602	354325.5246
603	354314.484
604	354303.9434
605	354291.4482
606	354279.6341
607	354262.405
608	354247.6579
609	354237.0184
610	354229.1992
611	354206.7996
612	354196.7064
613	354189.5919
614	354177.2226
615	354163.3136
616	354144.5691
617	354123.1636
618	354110.8746
619	354103.4455
620	354090.7952
621	354081.548
622	354067.9499
623	354058.9327
624	354048.0343
625	354037.7462
626	354018.2147
627	354005.0251
628	353993.8237
629	353985.6361
630	353976.409
631	353964.7668
632	353955.358
633	353938.887
634	353928.755
635	353907.2152
636	353886.3716
637	353880.7197
638	353867.4103
639	353859.2045
640	353846.414
641	353830.4132
642	353823.44
643	353807.2653
644	353798.2424
645	353773.8111
646	353761.8748
647	353749.9412
648	353744.6843
649	353730.0356
650	353720.9379
651	353706.0098
652	353695.8171
653	353683.669
654	353672.6099
655	353646.7681
656	353627.559
657	353613.8701
658	353596.073
659	353577.3695
660	353572.9196
661	353558.8918
662	353551.8031
663	353543.3492
664	353530.4002
665	353521.0136
666	353506.1596
667	353484.6858
668	353478.2151
669	353462.1123
670	353453.9279
671	353431.1077
672	353420.3673
673	353409.2136
674	353396.4872
675	353380.6625
676	353365.1127
677	353353.8079
678	353342.2338
679	353328.5828
680	353316.41
681	353311.4723
682	353303.6666
683	353285.6266
684	353259.3665
685	353243.2552
686	353228.2972
687	353215.6496
688	353199.8908
689	353188.694
690	353175.5377
691	353164.873
692	353151.4908
693	353145.3412
694	353128.6274
695	353119.0895
696	353107.1736
697	353098.9266
698	353091.9237
699	353082.5243
700	353070.4898
701	353059.7984
702	353045.5497
703	353029.8838
704	353016.066
705	353005.7427
706	352995.0606
707	352987.7694
708	352977.5582
709	352964.544
710	352942.5565
711	352936.4676
712	352929.4661
713	352920.9468
714	352905.3145
715	352895.4223
716	352886.9007
717	352880.6646
718	352864.4953
719	352853.4579
720	352845.4006
721	352841.7495
722	352835.2153
723	352825.5787
724	352812.5003
725	352795.6465
726	352783.8731
727	352771.4579
728	352754.9686
729	352738.4856
730	352720.7588
731	352712.9622
732	352696.7487
733	352688.5092
734	352679.9428
735	352672.7787
736	352663.2762
737	352649.9392
738	352639.8577
739	352627.7132
740	352611.9636
741	352601.6266
742	352588.7474
743	352575.6288
744	352565.0573
745	352554.534
746	352543.6806
747	352532.2402
748	352521.9931
749	352508.9339
750	352501.8878
751	352490.5512
752	352477.5099
753	352467.3813
754	352453.2205
755	352443.3979
756	352435.6179
757	352419.9622
758	352407.211
759	352396.1576
760	352382.6746
761	352367.4272
762	352360.2788
763	352346.8587
764	352332.6778
765	352319.7757
766	352307.4033
767	352290.1745
768	352278.7405
769	352273.163
770	352261.5175
771	352245.9905
772	352235.9922
773	352223.6204
774	352213.4454
775	352207.125
776	352187.858
777	352184.6355
778	352178.9949
779	352172.026
780	352153.0183
781	352142.0452
782	352124.4399
783	352118.707
784	352110.6597
785	352105.3559
786	352093.4734
787	352082.7787
788	352074.2779
789	352063.6548
790	352057.5182
791	352045.0631
792	352034.5032
793	352020.3363
794	352003.1276
795	351994.1354
796	351983.316
797	351968.1825
798	351957.3736
799	351949.8951
800	351940.7243
801	351929.0255
802	351919.5692
803	351909.2216
804	351900.2832
805	351890.3158
806	351883.3669
807	351870.4965
808	351855.5458
809	351841.2733
810	351831.7733
811	351819.2705
812	351807.7466
813	351796.5128
814	351787.902
815	351779.8963
816	351773.5116
817	351752.0548
818	351737.2548
819	351719.3505
820	351707.9863
821	351697.8898
822	351686.8566
823	351677.7327
824	351666.9259
825	351652.9203
826	351645.5086
827	351633.2881
828	351623.2454
829	351613.8258
830	351601.5463
831	351581.2975
832	351568.6074
833	351552.0846
834	351540.0782
835	351531.0649
836	351514.8831
837	351494.9102
838	351484.989
839	351472.8025
840	351454.4228
841	351448.3633
842	351438.6938
843	351427.6169
844	351414.9253
845	351402.3642
846	351396.8139
847	351387.8898
848	351376.1798
849	351365.1336
850	351355.2637
851	351342.4041
852	351335.0115
853	351327.3856
854	351311.8744
855	351295.8246
856	351284.256
857	351265.6093
858	351252.5152
859	351240.1462
860	351214.6769
861	351208.9935
862	351200.2034
863	351189.9799
864	351183.0176
865	351173.0477
866	351165.4157
867	351155.719
868	351142.0623
869	351129.3539
870	351119.9535
871	351111.9828
872	351096.7109
873	351086.7047
874	351071.1666
875	351059.8
876	351050.6359
877	351042.1243
878	351033.8191
879	351018.5231
880	351013.7968
881	351000.2286
882	350990.4905
883	350982.2005
884	350974.4081
885	350962.7964
886	350954.3421
887	350942.6758
888	350927.8995
889	350918.1386
890	350913.0237
891	350901.1861
892	350890.0428
893	350884.2885
894	350872.984
895	350859.9734
896	350845.295
897	350837.2802
898	350826.4484
899	350815.7341
900	350801.193
901	350794.5877
902	350786.5748
903	350775.6758
904	350761.8604
905	350753.3193
906	350748.1505
907	350741.1723
908	350732.6561
909	350727.7229
910	350714.6263
911	350704.2628
912	350691.3332
913	350684.1406
914	350674.4334
915	350669.7042
916	350660.946
917	350651.079
918	350645.8397
919	350638.5648
920	350624.8894
921	350614.5828
922	350605.6881
923	350598.8296
924	350592.1522
925	350583.5704
926	350570.9315
927	350562.3669
928	350556.3304
929	350551.2383
930	350538.2839
931	350526.813
932	350520.498
933	350510.3834
934	350502.6691
935	350491.7086
936	350479.2373
937	350469.246
938	350458.4458
939	350441.6077
940	350430.5404
941	350422.2892
942	350405.4628
943	350393.9663
944	350386.4035
945	350378.8281
946	350366.3006
947	350358.4394
948	350346.1756
949	350340.8459
950	350330.8054
951	350324.8536
952	350312.6274
953	350302.9642
954	350291.2253
955	350284.822
956	350274.5502
957	350262.8003
958	350252.9983
959	350240.9755
960	350228.2948
961	350221.5296
962	350212.5643
963	350207.1359
964	350197.3637
965	350187.3124
966	350174.6126
967	350166.2525
968	350156.6288
969	350146.4363
970	350137.5475
971	350127.6538
972	350117.2888
973	350102.1658
974	350093.8107
975	350087.0924
976	350073.2787
977	350065.025
978	350052.8001
979	350041.8326
980	350028.1437
981	350019.2945
982	350008.2636
983	350002.5576
984	349986.5479
985	349973.7881
986	349966.1173
987	349954.7068
988	349940.8019
989	349930.9292
990	349921.609
991	349913.8798
992	349908.7007
993	349903.4399
994	349894.7238
995	349876.766
996	349869.9731
997	349860.4619
998	349846.4015
999	349826.3549
